epoch,lr,step,test_neg_dy_l1_loss,test_total_l1_loss,test_y_l1_loss,train_neg_dy_mse_loss,train_total_mse_loss,train_y_mse_loss,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
0.0,3.440000000409782e-05,859,,,,0.0,1119.8367919921875,1119.8367919921875,0.0,0.0,0.9738410711288452,1.7458102703094482,0.9738410711288452,1.7458102703094482
1.0,6.880000000819564e-05,1719,,,,0.0,0.5845681428909302,0.5845681428909302,0.0,0.0,0.2815673053264618,0.16021586954593658,0.2815673053264618,0.16021586954593658
2.0,0.00010320000001229346,2579,,,,0.0,0.10750969499349594,0.10750969499349594,0.0,0.0,0.23360955715179443,0.09465840458869934,0.23360955715179443,0.09465840458869934
3.0,0.00013760000001639128,3439,,,,0.0,0.05326930060982704,0.05326930060982704,0.0,0.0,0.2744028568267822,0.09742458164691925,0.2744028568267822,0.09742458164691925
4.0,0.0001720000000204891,4299,,,,0.0,0.03945176675915718,0.03945176675915718,0.0,0.0,0.10309446603059769,0.019962426275014877,0.10309446603059769,0.019962426275014877
5.0,0.00020640000002458692,5159,,,,0.0,0.05646895617246628,0.05646895617246628,0.0,0.0,1.006156325340271,1.0738006830215454,1.006156325340271,1.0738006830215454
6.0,0.00024080000002868474,6019,,,,0.0,0.07186029106378555,0.07186029106378555,0.0,0.0,0.22991818189620972,0.06668081134557724,0.22991818189620972,0.06668081134557724
7.0,0.00027520000003278255,6879,,,,0.0,0.0859270691871643,0.0859270691871643,0.0,0.0,0.7006655335426331,0.5154207348823547,0.7006655335426331,0.5154207348823547
8.0,0.0003096000000368804,7739,,,,0.0,0.09219427406787872,0.09219427406787872,0.0,0.0,0.07660245150327682,0.011159040033817291,0.07660245150327682,0.011159040033817291
9.0,0.0003440000000409782,8599,,,,0.0,0.08749529719352722,0.08749529719352722,0.0,0.0,0.2675943672657013,0.08436936885118484,0.2675943672657013,0.08436936885118484
10.0,0.000378400000045076,9459,0.0,0.36222201585769653,0.36222201585769653,0.0,0.06979134678840637,0.06979134678840637,0.0,0.0,0.3623083531856537,0.1443473994731903,0.3623083531856537,0.1443473994731903
11.0,0.00039999998989515007,10319,,,,0.0,0.07686018943786621,0.07686018943786621,0.0,0.0,0.05481729656457901,0.006026365328580141,0.05481729656457901,0.006026365328580141
12.0,0.00039999998989515007,11179,,,,0.0,0.4072418808937073,0.4072418808937073,0.0,0.0,0.10607557743787766,0.021765945479273796,0.10607557743787766,0.021765945479273796
13.0,0.00039999998989515007,12039,,,,0.0,0.01402229443192482,0.01402229443192482,0.0,0.0,0.08614658564329147,0.01192426960915327,0.08614658564329147,0.01192426960915327
14.0,0.00039999998989515007,12899,,,,0.0,0.01440194621682167,0.01440194621682167,0.0,0.0,0.10866928100585938,0.016143303364515305,0.10866928100585938,0.016143303364515305
